,Order,File_Type,SKU_number,MarketingType,ReleaseNumber,New_Release_Flag,StrengthFactor,PriceReg,ReleaseYear,ItemCount,LowUserPrice,LowNetPrice,SoldFlag
70818,79242,Historical,665541,S,2,1,267740,44.95,2010,21,34.1,44.93,0
52932,58971,Historical,906731,S,2,1,329237,130.6,2008,36,10.24,93.15,0
4587,4807,Historical,1597973,D,2,1,2355606,23.33,2012,17,48.93,19.84,1
74464,83374,Historical,119109,S,6,1,32640,170.0,2011,37,41.0,88.99,0
63316,70633,Historical,2330397,S,2,1,200524,54.95,1975,19,30.49,142.66,0
54137,60295,Historical,563164,S,2,1,615499,109.0,1998,25,83.99,79.97,0
57213,63727,Historical,618878,S,2,1,210826,79.95,2008,29,26.73,52.71,0
53309,59390,Historical,546794,S,4,1,16662,49.99,2013,94,25.59,33.54,0
70667,79066,Historical,552193,S,0,0,117239,123.2,2005,39,23.49,50.54,0
61854,68983,Historical,201785,S,3,1,338484,59.95,2010,20,45.6,59.26,0
68888,76997,Historical,202808,S,2,1,3899122,104.95,2000,37,109.27,7.06,0
2674,2793,Historical,775148,D,3,1,2495297,160.0,2002,19,91.05,123.25,0
28490,29111,Historical,245209,D,3,1,2369408,107.95,2005,29,38.19,18.99,0
72259,80801,Historical,892744,S,3,1,220538,54.95,2014,17,39.96,48.86,0
33750,34506,Historical,631585,D,3,1,2452003,39.0,2010,25,36.03,49.67,0
893,901,Historical,50805,D,10,1,2450511,287.95,2004,42,86.72,14.99,0
18772,19207,Historical,644252,D,2,1,938178,164.95,1998,36,84.98,62.15,0
17645,18066,Historical,50897,D,5,1,16636,184.4,2011,101,133.99,18.68,0
37769,41164,Historical,113301,S,2,1,732666,120.0,1999,20,0.0,80.42,0
45003,50864,Historical,705351,S,4,1,758426,42.07,2004,24,12.68,68.44,0
34069,34834,Historical,178684,D,9,1,152211,167.95,2010,55,147.57,30.98,0
25738,26310,Historical,57955,D,5,1,85849,32.8,2009,107,148.53,28.98,1
24257,24793,Historical,50623,D,12,1,34880,264.95,2011,55,57.61,82.75,1
46004,51880,Historical,629639,S,3,1,424717,55.0,1992,21,25.44,68.55,0
44324,50178,Historical,635681,S,1,0,93163,55.0,2012,42,0.0,0.0,0
29487,30136,Historical,876142,D,0,0,2494311,69.5,2003,35,63.99,23.98,0
28589,29211,Historical,247719,D,2,1,650228,54.95,2006,24,50.48,15.84,0
2974,3111,Historical,531481,D,0,0,796825,22.99,2011,64,24.95,6.96,0
17728,18150,Historical,244957,D,2,1,2036909,246.95,2003,78,60.54,8.52,0
13415,13770,Historical,53633,D,6,1,1392942,98.95,2006,59,18.99,10.77,0
14912,15291,Historical,51345,D,6,1,126118,23.93,2006,54,82.4,26.97,0
54907,61153,Historical,751708,S,2,1,747576,80.95,2009,20,44.98,57.61,0
25210,25771,Historical,131727,D,0,0,1208939,33.99,2005,33,14.19,11.98,0
69218,77367,Historical,180738,S,2,1,660878,56.0,2012,19,38.57,49.35,0
62138,69315,Historical,848149,S,5,1,832765,51.5,1997,29,0.0,43.99,0
64982,72537,Historical,270775,S,3,1,89407,102.99,2010,26,78.16,60.85,0
45276,51137,Historical,247813,S,2,1,2668366,57.95,2006,53,33.99,5.49,0
61041,68055,Historical,540746,S,4,1,3371,176.0,2012,140,44.44,74.99,1
11166,11486,Historical,294148,D,0,0,889025,44.95,2004,41,23.45,12.0,0
54358,60544,Historical,52633,S,5,1,1573265,64.0,1998,46,133.75,21.98,0
18830,19266,Historical,287851,D,1,0,3155899,105.0,2001,23,63.82,30.28,0
16459,16859,Historical,665219,D,0,0,849470,49.99,2012,16,40.53,146.39,0
13514,13869,Historical,608599,D,4,1,3343994,163.95,2005,30,153.49,5.87,0
53308,59388,Historical,224887,S,3,1,64317,63.0,2006,51,26.99,43.4,0
72803,81427,Historical,133067,S,5,1,849966,127.8,2009,70,5.53,51.99,1
63186,70482,Historical,627902,S,3,1,447117,49.99,2012,22,0.0,28.98,0
73356,82089,Historical,756768,S,3,1,916548,175.0,1997,21,0.0,63.94,0
10465,10764,Historical,296524,D,1,0,474419,55.0,2004,52,49.49,23.98,0
12036,12368,Historical,644983,D,4,1,1584080,164.95,2010,31,37.03,44.99,1
52569,58586,Historical,555793,S,7,1,187546,49.95,2010,42,40.98,50.75,0
42630,48460,Historical,606976,S,8,1,797776,7.94,2006,61,31.09,18.99,0
39315,43967,Historical,664195,S,11,1,704990,121.87,2013,38,96.94,78.97,0
44208,50062,Historical,253861,S,1,0,641460,111.95,2009,36,62.81,20.04,0
40393,45263,Historical,880684,S,8,1,519958,176.4,2014,22,135.9,126.62,0
69986,78277,Historical,1710490,S,1,0,254711,64.95,2007,44,44.78,37.5,0
4520,4739,Historical,2257037,D,0,0,2733381,39.89,2009,44,0.0,17.94,1
14149,14509,Historical,2253570,D,6,1,1532224,47.07,2008,37,0.0,40.71,1
42393,48203,Historical,622652,S,12,1,442381,40.0,2010,46,38.06,13.36,1
39138,43630,Historical,629136,S,7,1,953612,34.99,2012,15,24.11,22.16,0
51872,57864,Historical,278218,S,0,0,2087701,29.95,2003,20,31.74,4.45,0
10430,10729,Historical,107260,D,5,1,526332,25.49,2004,56,115.99,25.47,0
34981,35774,Historical,607585,D,2,1,4769138,84.95,1994,25,8.09,29.5,0
40308,45167,Historical,537366,S,9,1,513338,164.2,2012,20,68.45,157.29,0
42678,48509,Historical,2614933,S,2,1,393212,90.0,2004,19,45.74,46.29,0
72468,81032,Historical,58272,S,9,1,203149,64.95,1996,108,0.0,21.47,0
3940,4143,Historical,537729,D,10,1,109329,57.0,2012,61,13.99,31.12,0
49454,55381,Historical,192392,S,3,1,2425484,89.0,2003,39,27.75,22.08,0
70517,78903,Historical,911791,S,0,0,1754557,24.95,2008,19,21.45,27.99,0
44564,50420,Historical,704003,S,3,1,1422827,23.97,2002,44,142.46,23.98,0
39198,43737,Historical,638563,S,2,1,1034342,65.95,2001,25,24.99,39.97,0
25422,25986,Historical,631026,D,0,0,4370850,7.83,2003,27,60.3,6.07,0
74327,83207,Historical,61179,S,11,1,295545,134.8,2007,41,85.9,33.93,0
8059,8315,Historical,54475,D,4,1,271069,18.1,2004,101,53.95,14.59,1
6519,6753,Historical,54728,D,3,1,1474839,217.95,2007,64,38.58,12.42,0
52255,58264,Historical,556392,S,6,1,706195,45.0,2011,17,4.35,40.59,0
48860,54781,Historical,807880,S,0,0,63361,19.99,2009,44,63.96,13.74,0
47811,53715,Historical,528705,S,5,1,157736,134.8,2012,70,35.99,39.12,1
32513,33239,Historical,748637,D,1,0,4682242,145.0,2005,12,105.33,63.89,0
72944,81603,Historical,642057,S,4,1,175287,47.95,2013,68,30.94,41.47,1
28181,28797,Historical,52623,D,7,1,362821,105.0,2007,245,63.85,14.29,0
59886,66747,Historical,610029,S,13,1,346938,57.95,2012,16,91.42,42.82,0
42756,48589,Historical,574739,S,0,0,239422,79.95,2008,20,50.68,14.07,0
16347,16744,Historical,870620,D,1,0,4518771,32.0,1996,26,12.87,5.99,0
39123,43601,Historical,625457,S,5,1,422273,156.0,2002,39,179.94,66.33,0
74007,82853,Historical,858474,S,2,1,994782,89.99,2014,18,33.39,58.93,0
66765,74574,Historical,178901,S,1,0,514788,191.95,2010,53,0.0,29.68,0
40704,45666,Historical,875835,S,11,1,1233636,122.0,2014,17,94.21,115.34,0
17022,17433,Historical,2577350,D,2,1,3402289,74.89,1984,35,38.17,53.31,0
38449,42476,Historical,2795243,S,4,1,8440412,61.95,1994,24,5.23,9.98,0
24728,25275,Historical,391334,D,3,1,314530,34.93,2008,33,93.88,107.37,1
65786,73458,Historical,533387,S,9,1,76283,128.8,2012,47,40.21,86.97,0
64560,72033,Historical,608705,S,2,1,2325540,39.95,2001,38,13.24,21.99,0
56676,63138,Historical,111266,S,9,1,145445,135.8,2010,53,31.82,59.99,1
4858,5081,Historical,862193,D,17,1,459376,189.95,2014,15,163.11,78.52,0
35321,36293,Historical,873428,S,5,1,3709426,61.4,2004,28,54.89,8.89,1
17874,18297,Historical,117286,D,1,0,1242764,98.67,2009,38,92.4,6.59,1
60814,67814,Historical,557347,S,8,1,381578,114.8,2007,39,43.71,101.84,0
71779,80279,Historical,499560,S,8,1,89443,36.95,2012,84,28.94,15.49,0
21862,22364,Historical,528722,D,6,1,455707,153.0,2011,38,52.96,63.53,0
61313,68357,Historical,775392,S,2,1,131768,44.95,2012,72,21.55,41.42,0
12590,12933,Historical,911313,D,1,0,3464195,34.95,1997,23,37.71,23.99,0
41251,46514,Historical,543763,S,6,1,700958,141.95,2011,25,41.88,98.99,0
28733,29358,Historical,147289,D,2,1,1047507,106.95,2006,21,69.69,47.51,0
39029,43475,Historical,613622,S,7,1,906959,142.2,2001,42,4.0,13.15,0
55913,62295,Historical,415948,S,4,1,14202,34.0,2012,50,17.34,22.19,0
24116,24650,Historical,163029,D,5,1,582401,80.0,2014,30,52.31,28.99,0
43008,48847,Historical,268832,S,9,1,1148462,57.0,2011,20,20.14,15.24,0
67735,75688,Historical,256427,S,1,0,978119,57.95,1997,35,16.0,48.09,0
41017,46065,Historical,2610100,S,2,1,2129405,74.99,1999,25,48.52,60.39,0
18277,18703,Historical,281972,D,1,0,272656,18.95,2000,50,19.36,49.95,1
51784,57775,Historical,630065,S,10,1,130109,34.95,2010,30,0.0,43.94,0
21542,22037,Historical,126807,D,3,1,276610,42.95,2004,97,29.35,19.98,0
14500,14871,Historical,620913,D,3,1,644277,118.0,2000,29,113.99,20.98,1
31954,32660,Historical,540752,D,7,1,46105,123.6,2013,61,31.52,46.99,1
43531,49381,Historical,607778,S,2,1,936470,78.95,2000,37,37.09,17.1,0
73872,82699,Historical,2562766,S,3,1,2669586,105.0,1996,23,38.94,12.09,0
70953,79390,Historical,177145,S,5,1,505472,221.95,2003,43,8.42,58.39,0
2025,2118,Historical,913354,D,3,1,671103,29.95,1997,25,30.97,47.72,0
29397,30043,Historical,2698032,D,1,0,2665946,51.95,2000,14,145.48,51.95,0
30346,31017,Historical,51587,D,11,1,48445,170.0,2008,104,55.34,78.99,0
10017,10306,Historical,552015,D,1,0,11459058,59.0,1999,13,28.29,47.75,0
29205,29846,Historical,860475,D,5,1,70740,54.95,2011,171,37.98,27.92,0
6089,6321,Historical,53918,D,1,0,3253743,175.5,2004,26,137.54,10.14,0
31934,32640,Historical,531640,D,3,1,599998,75.95,2010,67,32.89,24.99,0
47009,52901,Historical,583571,S,5,1,2816349,76.95,2002,23,73.94,41.76,0
26323,26908,Historical,477680,D,1,0,608644,99.95,2010,36,0.0,0.0,0
10233,10526,Historical,532530,D,2,1,2610857,0.0,2007,24,53.05,36.58,1
35294,36264,Historical,657904,S,11,1,613212,118.67,2013,18,20.82,53.99,0
73241,81952,Historical,308122,S,3,1,2389631,95.0,2008,27,0.0,24.98,0
46533,52416,Historical,667454,S,4,1,249872,266.91,2010,12,0.0,63.98,0
7576,7822,Historical,1516804,D,2,1,1939035,99.87,2012,22,68.57,43.92,0
41867,47610,Historical,2266487,S,4,1,574632,36.63,2013,19,0.0,36.9,0
47129,53024,Historical,712284,S,2,1,2394929,194.24,2003,16,70.42,63.31,0
28444,29060,Historical,55789,D,3,1,254116,103.72,2000,29,78.08,87.25,1
41375,46710,Historical,861496,S,8,1,937171,269.75,2013,20,151.91,153.98,0
6582,6817,Historical,54153,D,6,1,55287,127.4,2008,48,89.77,59.49,1
16697,17102,Historical,1658125,D,2,1,3029087,69.41,2009,21,23.89,33.95,0
69471,77661,Historical,872073,S,2,1,1684850,82.0,2012,20,43.43,81.95,0
575,583,Historical,54119,D,6,1,1440438,313.95,2008,47,151.48,11.13,0
70443,78818,Historical,346198,S,1,0,582053,155.95,2006,22,0.0,51.54,0
75955,85058,Historical,524971,S,6,1,55960,79.95,2012,73,21.32,32.94,0
61650,68755,Historical,121289,S,2,1,321100,48.0,2010,30,25.87,40.99,0
63823,71198,Historical,1462182,S,0,0,21338,42.96,2014,39,23.49,18.99,0
28900,29531,Historical,201739,D,2,1,1133229,114.95,2008,23,43.94,84.97,0
47837,53741,Historical,904116,S,2,1,1064111,59.95,1989,16,39.96,98.18,0
24332,24871,Historical,146879,D,0,0,495715,52.95,2000,36,64.67,43.97,0
8233,8491,Historical,620225,D,1,0,280795,59.99,2012,48,40.34,28.93,1
6807,7042,Historical,57132,D,6,1,128629,73.95,2010,363,40.81,9.19,0
32147,32861,Historical,309092,D,6,1,222135,107.5,2007,55,24.87,37.61,1
50414,56365,Historical,120821,S,2,1,309414,206.67,2009,24,74.95,63.99,0
9350,9627,Historical,254447,D,2,1,889812,50.95,2011,41,31.29,34.44,1
42484,48298,Historical,111348,S,6,1,252051,0.0,2009,21,0.0,0.0,0
17213,17625,Historical,607936,D,9,1,1397759,158.0,2006,91,5.4,13.48,0
21174,21662,Historical,320931,D,0,0,1575807,59.95,2009,61,29.61,16.99,1
67272,75146,Historical,1752767,S,3,1,1214193,69.95,2014,11,0.0,60.9,0
33833,34589,Historical,52006,D,12,1,83500,294.95,2010,304,172.09,22.88,1
61467,68541,Historical,133453,S,24,1,355047,171.8,2010,37,43.94,94.61,1
56064,62468,Historical,860299,S,3,1,773242,39.99,2011,82,4.0,10.8,0
45854,51729,Historical,52335,S,9,1,647740,120.0,2007,82,98.49,35.84,0
29335,29981,Historical,543811,D,4,1,55491,102.95,2013,56,46.98,37.99,1
62609,69843,Historical,1465847,S,2,1,631438,42.0,2012,21,0.0,20.1,0
67105,74965,Historical,628734,S,1,0,104828,99.0,2009,26,0.0,0.0,0
35367,36345,Historical,121565,S,2,1,131955,185.2,2011,34,98.07,128.23,1
57661,64217,Historical,286407,S,2,1,258436,200.2,2011,34,74.63,51.99,1
30301,30971,Historical,873796,D,0,0,4580126,0.0,2005,12,65.34,101.15,0
19024,19466,Historical,747990,D,1,0,205952,69.5,1997,34,94.11,8.99,1
34411,35189,Historical,120694,D,2,1,767952,87.6,2008,61,81.69,44.51,1
18708,19141,Historical,863212,D,4,1,2127897,99.0,2004,13,67.15,99.43,0
8779,9046,Historical,550238,D,12,1,1305735,14.23,2005,58,92.99,14.24,1
67419,75313,Historical,1617813,S,2,1,346000,39.99,2010,13,22.98,21.96,0
8580,8843,Historical,631854,D,2,1,825114,73.99,2002,16,67.85,32.71,0
16333,16730,Historical,117425,D,2,1,1244167,86.0,2006,40,113.99,13.99,0
63285,70598,Historical,290291,S,3,1,244934,83.5,2002,58,32.24,33.98,0
43671,49522,Historical,174540,S,1,0,168419,59.99,1998,30,0.0,42.97,0
37930,41425,Historical,1455177,S,11,1,202919,163.33,2014,20,0.0,139.65,0
33107,33848,Historical,902511,D,0,0,1302688,39.99,2004,14,30.27,28.99,0
20283,20754,Historical,2575538,D,1,0,4440282,0.0,1986,14,103.63,0.0,0
43316,49163,Historical,911194,S,3,1,1993092,64.98,2007,51,46.96,38.83,1
55607,61947,Historical,667441,S,6,1,1357267,42.95,2010,43,23.68,18.98,0
54927,61175,Historical,349963,S,5,1,887007,105.95,2004,24,7.24,45.99,0
10803,11115,Historical,148767,D,10,1,721860,249.95,2010,41,40.33,60.89,0
52212,58219,Historical,761687,S,2,1,1795060,50.0,2006,51,43.87,7.98,0
39199,43738,Historical,638573,S,4,1,259814,96.45,2005,22,0.0,37.25,0
32295,33014,Historical,600614,D,6,1,886593,31.0,2009,23,48.24,19.78,0
2730,2853,Historical,911333,D,0,0,2253715,69.95,1982,21,44.7,52.65,0
20331,20803,Historical,116742,D,0,0,1159914,158.0,2006,76,83.98,14.6,1
38723,43057,Historical,530245,S,14,1,144501,106.95,2012,27,0.0,90.95,0
65014,72571,Historical,402487,S,3,1,2173487,83.97,2006,27,83.54,46.23,0
8529,8790,Historical,121073,D,1,0,1362126,124.0,1999,34,66.61,49.77,0
8148,8405,Historical,2669110,D,3,1,763250,7.95,1983,20,57.57,17.87,0
69922,78195,Historical,874811,S,4,1,1254431,15.88,2002,41,87.99,14.22,0
72668,81253,Historical,608163,S,9,1,1136356,161.95,1997,52,4.51,33.99,0
31462,32153,Historical,636626,D,5,1,2894727,69.95,1993,22,72.02,50.04,1
52332,58343,Historical,2570915,S,2,1,4008721,170.0,1993,13,278.9,58.79,0
24072,24606,Historical,108766,D,10,1,64974,566.16,2005,52,63.99,51.92,0
74236,83106,Historical,189391,S,0,0,347388,43.95,1997,19,22.05,31.97,0
30860,31539,Historical,536173,D,6,1,327140,61.95,2011,69,49.54,56.79,0
20512,20989,Historical,244047,D,3,1,481069,165.95,2010,29,75.96,63.98,0
41480,46862,Historical,808073,S,0,0,1483373,99.99,2012,14,14.52,48.93,0
22423,22930,Historical,528598,D,10,1,916489,379.99,2008,16,188.89,13.23,0
62221,69408,Historical,1428432,S,1,0,1105861,106.05,2009,49,17.21,31.89,1
9823,10107,Historical,599123,D,10,1,544525,82.0,2005,36,85.1,52.87,0
22384,22890,Historical,598819,D,8,1,2711080,60.0,2002,31,0.0,0.0,0
32056,32767,Historical,3246108,D,2,1,4084861,67.74,2004,37,0.0,53.51,0
48763,54682,Historical,3475401,S,2,1,1153494,85.0,1998,24,0.0,60.13,0
21689,22190,Historical,52513,D,5,1,3001689,59.95,2008,43,36.09,5.44,0
70877,79307,Historical,620868,S,0,0,117128,50.0,2005,40,22.84,24.99,0
55282,61582,Historical,612228,S,12,1,677131,39.0,2013,16,0.0,0.0,0
43198,49041,Historical,110603,S,5,1,2875304,0.0,2009,18,35.98,43.89,0
31273,31961,Historical,131846,D,4,1,409270,93.0,2004,39,47.65,18.13,1
54464,60666,Historical,569897,S,4,1,717937,290.95,1995,22,23.93,95.78,0
39819,44574,Historical,875066,S,2,1,2442834,91.8,2009,18,102.99,33.98,0
72807,81431,Historical,57819,S,9,1,1189025,14.95,2006,28,10.81,12.63,0
916,924,Historical,1547810,D,2,1,4919278,64.95,2010,15,38.98,64.95,0
55455,61774,Historical,476799,S,3,1,672644,169.99,2007,19,0.0,0.0,0
67753,75711,Historical,292192,S,3,1,77438,19.95,2005,17,0.0,0.0,0
55681,62029,Historical,541998,S,6,1,1304157,99.95,2007,30,6.52,33.94,0
32155,32869,Historical,618550,D,5,1,161273,84.75,2012,62,60.44,36.92,1
36387,37973,Historical,569384,S,8,1,3492202,84.95,2001,17,4.44,23.99,0
27574,28177,Historical,118257,D,5,1,94082,120.0,2011,146,83.5,24.85,0
64832,72355,Historical,905161,S,2,1,65862,79.95,2014,26,58.62,59.64,0
64794,72311,Historical,52277,S,11,1,1010593,162.95,2004,161,64.03,7.99,0
22781,23297,Historical,758581,D,1,0,335130,100.0,1999,38,50.0,15.0,0
67418,75310,Historical,293259,S,6,1,54856,72.0,2005,42,29.77,50.42,0
73257,81973,Historical,133492,S,9,1,399773,120.0,2010,25,41.96,100.19,0
61557,68645,Historical,546819,S,8,1,280612,19.99,2013,62,0.0,0.0,0
29990,30646,Historical,113380,D,3,1,1241297,83.95,2007,27,62.24,51.71,0
52211,58218,Historical,2759278,S,2,1,2353804,124.95,1999,25,73.94,8.19,0
20239,20710,Historical,248454,D,6,1,315371,218.95,2008,66,109.11,52.63,1
38620,42943,Historical,416318,S,7,1,2400207,0.0,2002,15,73.43,43.99,0
21455,21946,Historical,265320,D,4,1,1048894,69.0,2006,88,54.48,33.98,0
10586,10893,Historical,266251,D,7,1,276342,219.95,2011,102,77.88,33.99,0
34530,35310,Historical,2663295,D,2,1,755449,99.0,1995,21,288.12,84.08,0
47038,52932,Historical,562473,S,3,1,2460887,40.0,2006,27,8.28,29.99,0
6508,6742,Historical,544369,D,13,1,4530,260.95,2013,95,119.47,103.99,1
74128,82991,Historical,871073,S,7,1,932317,78.67,2000,42,66.58,6.66,1
15794,16184,Historical,533633,D,9,1,190117,199.95,2012,100,69.78,16.6,0
23401,23926,Historical,51469,D,9,1,92297,188.0,2008,169,108.99,21.48,0
4554,4774,Historical,145951,D,2,1,1909878,198.0,2008,16,46.14,0.0,0
48447,54361,Historical,2078540,S,3,1,446664,49.95,2009,80,9.54,8.97,0
2198,2297,Historical,110217,D,3,1,442394,23.94,2009,36,71.34,16.99,0
65132,72699,Historical,528301,S,6,1,482952,35.0,2010,33,35.21,40.45,0
53366,59451,Historical,534162,S,4,1,111138,126.5,2010,33,18.19,77.01,1
50261,56207,Historical,300382,S,2,1,394510,39.99,2009,48,27.98,39.99,0
75314,84349,Historical,674270,S,1,0,131299,29.95,2003,281,16.49,7.4,0
28944,29575,Historical,147159,D,2,1,727679,75.95,2007,38,33.99,15.95,0
31285,31973,Historical,114510,D,1,0,2059943,65.95,2002,28,75.33,20.0,1
56713,63176,Historical,182717,S,1,0,538687,56.95,2004,39,0.0,24.0,0
35822,37130,Historical,534083,S,6,1,1854842,113.25,1994,33,106.29,8.85,0
20147,20616,Historical,129366,D,6,1,351817,67.95,2010,41,53.58,57.79,0
33426,34178,Historical,2341173,D,1,0,1565919,70.0,1993,25,39.64,10.67,0
27017,27608,Historical,178924,D,6,1,576919,126.95,2010,36,33.81,55.93,0
51675,57659,Historical,58252,S,7,1,1332393,113.8,2005,62,41.96,55.51,0
26606,27193,Historical,613517,D,6,1,108201,156.4,2004,85,96.63,46.61,0
43401,49248,Historical,147336,S,1,0,395509,90.95,2005,31,49.99,48.99,1
23914,24447,Historical,254646,D,1,0,345552,79.95,2011,21,23.96,53.99,0
46754,52640,Historical,2533956,S,0,0,1248411,130.0,1997,26,0.0,55.99,0
68986,77107,Historical,526829,S,3,1,1012387,82.0,2011,15,56.26,47.32,0
60363,67286,Historical,658839,S,2,1,1613959,48.95,2011,38,23.98,39.2,0
32778,33511,Historical,247607,D,4,1,326146,73.95,2005,69,34.98,23.74,0
63673,71022,Historical,1989621,S,1,0,468330,59.99,2014,14,0.0,22.97,0
71475,79952,Historical,543953,S,6,1,323597,83.5,2013,29,48.98,47.99,0
13164,13515,Historical,54560,D,4,1,293680,33.99,2009,78,28.99,28.76,1
59048,65797,Historical,51452,S,2,1,991266,107.0,2002,83,128.99,27.22,0
40060,44822,Historical,911948,S,10,1,1425504,88.67,2013,23,51.2,89.68,0
47090,52985,Historical,537670,S,11,1,217997,182.5,2008,74,173.86,28.97,0
20247,20718,Historical,56316,D,3,1,37562,59.0,2011,52,37.81,57.92,0
45186,51047,Historical,531211,S,3,1,1155943,59.95,2007,21,21.63,37.72,0
17317,17730,Historical,262281,D,0,0,3562355,79.95,2005,18,41.06,23.89,0
47617,53520,Historical,117163,S,1,0,558463,140.6,2006,15,0.0,99.55,0
61465,68538,Historical,285395,S,8,1,1302410,81.83,2010,33,4.73,47.95,0
34072,34837,Historical,264920,D,1,0,853800,61.95,2004,28,46.41,43.99,1
74856,83824,Historical,2054408,S,2,1,50131,42.95,2010,61,32.37,37.31,0
34570,35353,Historical,661890,D,0,0,1342425,95.0,2012,15,75.98,73.98,0
40596,45524,Historical,878720,S,9,1,1007274,205.47,2013,13,115.99,181.3,0
10357,10653,Historical,737329,D,5,1,3088587,72.0,2004,27,106.13,45.4,1
65605,73263,Historical,655032,S,2,1,32616,49.95,2013,67,40.01,32.85,0
59121,65885,Historical,621918,S,10,1,120520,43.95,2012,73,22.79,21.69,0
53271,59347,Historical,535817,S,2,1,8088,284.75,2013,79,48.41,61.85,0
75168,84187,Historical,2404141,S,1,0,939382,50.0,1989,150,0.0,9.3,0
25285,25848,Historical,294830,D,7,1,106871,49.95,2006,129,34.64,17.45,1
52069,58070,Historical,262614,S,3,1,1461482,61.95,2003,32,37.59,23.99,0
63636,70981,Historical,2051621,S,1,0,100072,26.95,2007,29,58.08,9.97,0
5403,5629,Historical,57058,D,11,1,2319668,73.6,2006,83,89.82,9.98,1
60900,67908,Historical,699367,S,4,1,308692,55.23,2013,20,56.06,33.9,0
10458,10757,Historical,113408,D,1,0,2111260,104.0,1997,38,58.27,36.06,0
37214,39829,Historical,548316,S,4,1,808543,314.95,1988,36,4.0,42.48,0
27930,28540,Historical,299314,D,2,1,170926,115.0,2007,96,10.81,11.01,0
19772,20228,Historical,303767,D,4,1,3504399,226.95,2001,26,14.2,14.99,0
50412,56363,Historical,196712,S,3,1,680459,76.95,2006,28,33.24,27.99,0
75989,85100,Historical,327486,S,0,0,357009,39.99,2008,43,15.55,65.11,0
43548,49398,Historical,140474,S,2,1,245203,41.99,2003,44,27.28,19.99,0
57248,63763,Historical,875167,S,7,1,509497,302.53,2011,27,97.58,61.39,0
61609,68707,Historical,644302,S,3,1,1120487,79.95,1986,27,81.98,68.77,0
69682,77908,Historical,621479,S,2,1,227642,57.0,2002,24,0.0,35.36,0
69859,78118,Historical,617993,S,5,1,147722,61.6,2006,76,40.39,52.88,1
20515,20992,Historical,157697,D,4,1,723922,70.95,2010,41,7.14,39.83,0
33892,34650,Historical,61055,D,8,1,83142,184.95,2006,66,87.92,63.69,0
67560,75483,Historical,527346,S,2,1,70801,34.99,2009,28,14.32,17.22,0
16597,17000,Historical,542967,D,5,1,3431289,59.99,2002,34,71.61,55.87,0
34901,35694,Historical,289422,D,2,1,1167347,53.56,2008,80,56.13,23.44,1
59663,66494,Historical,2265460,S,6,1,1936114,182.09,2011,29,52.22,128.63,0
20003,20467,Historical,624979,D,3,1,1285114,170.0,2005,30,71.29,73.17,0
68171,76190,Historical,1550555,S,4,1,465834,54.95,2014,18,148.39,45.49,0
3012,3152,Historical,915534,D,2,1,3395366,54.95,2003,25,14.3,5.98,0
