,0
240,0.13
241,0.58
242,0.67
243,0.26
244,0.1
245,0.2
246,0.18
247,0.11
248,0.1
249,0.04
250,0.21
251,0.22
252,0.52
253,0.1
254,0.61
255,0.05
256,0.13
257,0.04
258,0.1
259,0.1
260,0.33
261,0.21
262,0.12
263,0.08
264,0.41
265,0.24
266,0.45
267,0.09
268,0.58
269,0.72
270,0.55
271,0.15
272,0.41
273,0.09
274,0.11
275,0.11
276,0.23
277,0.29
278,0.17
279,0.41
280,0.5
281,0.15
282,0.08
283,0.7
284,0.17
285,0.43
286,0.29
287,0.01
288,0.13
289,0.01
290,0.15
291,0.14
292,0.18
293,0.09
294,0.26
295,0.0
296,0.34
297,0.46
298,0.08
299,0.29
300,0.1
301,0.19
302,0.02
303,0.42
304,0.51
305,0.58
306,0.48
307,0.19
308,0.02
309,0.18
310,0.06
311,0.54
312,0.03
313,0.75
314,0.08
315,0.55
316,0.29
317,0.34
318,0.43
319,0.15
320,0.16
321,0.39
322,0.37
323,0.03
324,0.06
325,0.1
326,0.43
327,0.73
328,0.19
329,0.09
330,0.13
331,0.15
332,0.27
333,0.16
334,0.23
335,0.26
336,0.47
337,0.14
338,0.35
339,0.26
340,0.4
341,0.24
342,0.5
343,0.36
344,0.21
345,0.2
346,0.76
347,0.17
348,0.1
349,0.57
350,0.05
351,0.18
352,0.19
353,0.2
354,0.07
355,0.58
356,0.01
357,0.25
358,0.36
359,0.68
360,0.62
361,0.27
362,0.02
363,0.09
364,0.62
365,0.85
366,0.24
367,0.05
368,0.6
369,0.64
370,0.65
371,0.17
372,0.11
373,0.42
374,0.27
375,0.35
376,0.24
377,0.19
378,0.31
379,0.08
380,0.16
381,0.24
382,0.56
383,0.35
384,0.07
385,0.14
386,0.07
387,0.37
388,0.22
389,0.39
390,0.2
391,0.34
392,0.07
393,0.28
394,0.18
395,0.2
396,0.39
397,0.18
398,0.04
399,0.44
400,0.02
401,0.43
402,0.56
403,0.45
404,0.16
405,0.39
406,0.18
407,0.05
408,0.06
409,0.03
410,0.11
411,0.41
412,0.15
413,0.41
414,0.13
415,0.28
416,0.24
417,0.1
418,0.21
419,0.31
420,0.0
421,0.56
422,0.28
423,0.31
424,0.19
425,0.22
426,0.22
427,0.25
428,0.12
429,0.16
430,0.25
431,0.1
432,0.07
433,0.14
434,0.44
435,0.17
436,0.43
437,0.03
438,0.76
439,0.37
440,0.16
441,0.26
442,0.03
443,0.32
444,0.09
445,0.15
446,0.1
447,0.35
448,0.79
449,0.11
450,0.49
451,0.11
452,0.26
453,0.44
454,0.4
455,0.3
456,0.2
457,0.01
458,0.03
459,0.0
460,0.2
461,0.14
462,0.23
463,0.17
464,0.21
465,0.76
466,0.2
467,0.23
468,0.66
469,0.13
470,0.08
471,0.48
472,0.25
473,0.42
474,0.09
475,0.13
476,0.1
477,0.2
478,0.53
479,0.18
480,0.15
481,0.06
482,0.11
483,0.22
484,0.28
485,0.68
486,0.22
487,0.57
488,0.56
489,0.35
490,0.32
491,0.42
492,0.26
493,0.36
494,0.28
495,0.21
496,0.16
497,0.55
498,0.03
499,0.37
500,0.74
501,0.02
502,0.44
503,0.19
504,0.23
505,0.78
506,0.54
507,0.15
508,0.34
509,0.14
510,0.16
511,0.13
512,0.35
513,0.08
514,0.5
515,0.02
516,0.51
517,0.05
518,0.23
519,0.49
520,0.12
521,0.36
522,0.25
523,0.19
524,0.3
525,0.15
526,0.02
527,0.13
528,0.1
529,0.21
530,0.69
531,0.22
532,0.1
533,0.41
534,0.17
535,0.7
536,0.32
537,0.12
538,0.32
539,0.06
540,0.35
541,0.06
542,0.17
543,0.05
544,0.4
545,0.11
546,0.07
547,0.31
548,0.29
549,0.42
550,0.08
551,0.63
552,0.01
553,0.13
554,0.31
555,0.01
556,0.2
557,0.09
558,0.55
559,0.14
560,0.07
561,0.05
562,0.1
563,0.33
564,0.2
565,0.6
566,0.33
567,0.12
568,0.13
569,0.17
570,0.39
571,0.25
572,0.13
573,0.64
574,0.22
575,0.19
576,0.08
577,0.04
578,0.5
579,0.35
580,0.25
581,0.11
582,0.08
583,0.18
584,0.22
585,0.02
586,0.44
587,0.22
588,0.11
589,0.02
590,0.31
591,0.83
592,0.63
593,0.11
594,0.62
595,0.45
596,0.19
597,0.17
598,0.31
599,0.02
600,0.08
601,0.13
602,0.56
603,0.11
604,0.18
605,0.1
606,0.73
607,0.07
608,0.14
609,0.5
610,0.07
611,0.15
612,0.18
613,0.21
614,0.07
615,0.07
616,0.1
617,0.3
618,0.04
619,0.06
620,0.22
621,0.39
622,0.17
623,0.12
624,0.49
625,0.05
626,0.56
627,0.33
628,0.07
629,0.16
630,0.11
631,0.08
632,0.11
633,0.23
634,0.18
635,0.48
636,0.19
637,0.54
638,0.36
639,0.19
640,0.7
641,0.12
642,0.27
643,0.05
644,0.1
645,0.02
646,0.03
647,0.0
648,0.08
649,0.13
650,0.03
651,0.26
652,0.43
653,0.12
654,0.11
655,0.08
656,0.12
657,0.11
658,0.12
659,0.33
660,0.6
661,0.4
662,0.24
663,0.41
664,0.2
665,0.1
666,0.2
667,0.4
668,0.2
669,0.28
670,0.08
671,0.6
672,0.17
673,0.19
674,0.38
675,0.2
676,0.19
677,0.09
678,0.09
679,0.07
680,0.51
681,0.2
682,0.73
683,0.34
684,0.1
685,0.07
686,0.29
687,0.24
688,0.09
689,0.13
690,0.24
691,0.39
692,0.18
693,0.13
694,0.39
695,0.64
696,0.13
697,0.23
698,0.06
699,0.05
700,0.47
701,0.3
702,0.06
703,0.28
704,0.24
705,0.02
706,0.69
707,0.13
708,0.2
709,0.17
710,0.28
711,0.12
712,0.06
713,0.13
714,0.22
715,0.15
716,0.13
717,0.02
718,0.74
719,0.57
720,0.26
721,0.12
722,0.05
723,0.02
724,0.06
725,0.07
726,0.2
727,0.22
728,0.6
729,0.15
730,0.7
731,0.28
732,0.28
733,0.05
734,0.74
735,0.52
736,0.26
737,0.19
738,0.44
739,0.45
740,0.05
741,0.06
742,0.18
743,0.06
744,0.03
745,0.26
746,0.31
747,0.6
748,0.27
749,0.13
750,0.47
751,0.75
752,0.5
753,0.15
754,0.28
755,0.78
756,0.25
757,0.25
758,0.24
759,0.09
760,0.25
761,0.67
762,0.46
763,0.15
764,0.03
765,0.18
766,0.12
767,0.03
768,0.09
769,0.18
770,0.42
771,0.34
772,0.46
773,0.3
774,0.17
775,0.29
776,0.12
777,0.16
778,0.33
779,0.82
780,0.24
781,0.18
782,0.08
783,0.62
784,0.13
785,0.15
786,0.07
787,0.21
788,0.27
789,0.19
790,0.2
791,0.12
792,0.65
793,0.07
794,0.24
795,0.68
796,0.15
797,0.31
798,0.35
799,0.02
800,0.74
801,0.49
802,0.11
803,0.1
804,0.15
805,0.29
806,0.4
807,0.0
808,0.54
809,0.07
810,0.08
811,0.01
812,0.06
813,0.19
814,0.03
815,0.49
816,0.34
817,0.26
818,0.28
819,0.04
820,0.28
821,0.42
822,0.38
823,0.44
824,0.36
825,0.14
826,0.41
827,0.37
828,0.61
829,0.02
830,0.14
831,0.14
832,0.01
833,0.25
834,0.03
835,0.37
836,0.06
837,0.23
838,0.31
839,0.37
840,0.17
841,0.13
842,0.54
843,0.09
844,0.12
845,0.11
846,0.42
847,0.01
848,0.21
849,0.37
850,0.68
851,0.41
852,0.25
853,0.2
854,0.02
855,0.04
856,0.37
857,0.3
858,0.81
859,0.27
860,0.45
861,0.14
862,0.02
863,0.13
864,0.3
865,0.35
866,0.29
867,0.06
868,0.06
869,0.12
870,0.08
871,0.46
872,0.34
873,0.55
874,0.13
875,0.46
876,0.02
877,0.07
878,0.22
879,0.15
880,0.16
881,0.1
882,0.4
883,0.34
884,0.31
885,0.09
886,0.28
887,0.21
888,0.23
889,0.26
890,0.45
891,0.45
892,0.82
893,0.08
894,0.36
895,0.73
896,0.32
897,0.09
898,0.15
899,0.25
900,0.06
901,0.23
902,0.49
903,0.37
904,0.36
905,0.24
906,0.13
907,0.0
908,0.13
909,0.11
910,0.07
911,0.34
912,0.06
913,0.42
914,0.17
915,0.04
916,0.05
917,0.04
918,0.11
919,0.72
920,0.63
921,0.04
922,0.31
923,0.16
924,0.12
925,0.19
926,0.21
927,0.73
928,0.16
929,0.25
930,0.22
931,0.53
932,0.26
933,0.71
934,0.09
935,0.08
936,0.52
937,0.6
938,0.33
939,0.31
940,0.13
941,0.42
942,0.18
943,0.28
944,0.08
945,0.1
946,0.08
947,0.2
948,0.31
949,0.62
950,0.18
951,0.27
952,0.46
953,0.09
954,0.16
955,0.25
956,0.15
957,0.03
958,0.14
959,0.09
960,0.13
961,0.58
962,0.01
963,0.35
964,0.37
965,0.37
966,0.24
967,0.15
968,0.59
969,0.31
970,0.64
971,0.16
972,0.43
973,0.43
974,0.06
975,0.17
976,0.09
977,0.65
978,0.49
979,0.33
980,0.03
981,0.31
982,0.1
983,0.02
984,0.23
985,0.07
986,0.35
987,0.43
988,0.47
989,0.02
990,0.06
991,0.08
992,0.28
993,0.19
994,0.14
995,0.37
996,0.24
997,0.17
998,0.57
999,0.08
1000,0.61
1001,0.06
1002,0.3
1003,0.07
1004,0.66
1005,0.49
1006,0.15
1007,0.66
1008,0.01
1009,0.64
1010,0.48
1011,0.02
1012,0.48
1013,0.24
1014,0.43
1015,0.02
1016,0.37
1017,0.28
1018,0.39
1019,0.22
1020,0.1
1021,0.64
1022,0.12
1023,0.05
1024,0.16
1025,0.13
1026,0.03
1027,0.07
1028,0.36
1029,0.17
1030,0.13
1031,0.04
1032,0.23
1033,0.08
1034,0.1
1035,0.68
1036,0.27
1037,0.54
1038,0.17
1039,0.2
1040,0.64
1041,0.3
1042,0.29
1043,0.57
1044,0.26
1045,0.22
1046,0.38
1047,0.0
1048,0.66
1049,0.18
1050,0.35
1051,0.35
1052,0.37
1053,0.33
1054,0.21
1055,0.05
1056,0.25
1057,0.08
1058,0.15
1059,0.22
1060,0.02
1061,0.3
1062,0.39
1063,0.33
1064,0.15
1065,0.19
1066,0.16
1067,0.09
1068,0.25
1069,0.1
1070,0.24
1071,0.17
1072,0.03
1073,0.3
1074,0.28
1075,0.19
1076,0.08
1077,0.42
1078,0.19
1079,0.14
1080,0.05
1081,0.09
1082,0.26
1083,0.45
1084,0.42
1085,0.25
1086,0.3
1087,0.18
1088,0.29
1089,0.64
1090,0.18
1091,0.21
1092,0.17
1093,0.22
1094,0.16
1095,0.47
1096,0.1
1097,0.0
1098,0.3
1099,0.72
1100,0.41
1101,0.12
1102,0.06
1103,0.27
1104,0.22
1105,0.11
1106,0.63
1107,0.27
1108,0.27
1109,0.07
1110,0.68
1111,0.27
1112,0.8
1113,0.3
1114,0.17
1115,0.35
1116,0.06
1117,0.59
1118,0.74
1119,0.77
1120,0.05
1121,0.0
1122,0.14
1123,0.06
1124,0.56
1125,0.74
1126,0.03
1127,0.37
1128,0.29
1129,0.08
1130,0.44
1131,0.02
1132,0.29
1133,0.45
1134,0.39
1135,0.51
1136,0.18
1137,0.06
1138,0.09
1139,0.1
1140,0.14
1141,0.78
1142,0.0
1143,0.25
1144,0.51
1145,0.08
1146,0.13
1147,0.24
1148,0.79
1149,0.52
1150,0.21
1151,0.03
1152,0.69
1153,0.37
1154,0.36
1155,0.38
1156,0.01
1157,0.41
1158,0.24
1159,0.08
1160,0.23
1161,0.31
1162,0.08
1163,0.22
1164,0.27
1165,0.29
1166,0.13
1167,0.24
1168,0.19
1169,0.07
1170,0.12
1171,0.27
1172,0.01
1173,0.0
1174,0.43
1175,0.19
1176,0.3
1177,0.69
1178,0.24
1179,0.64
1180,0.04
1181,0.11
1182,0.14
1183,0.21
1184,0.63
1185,0.38
1186,0.2
1187,0.19
1188,0.08
1189,0.07
1190,0.21
1191,0.34
1192,0.01
1193,0.12
1194,0.08
1195,0.1
1196,0.27
1197,0.16
1198,0.07
1199,0.08
1200,0.28
1201,0.2
1202,0.25
1203,0.07
1204,0.11
1205,0.24
1206,0.54
1207,0.44
1208,0.08
1209,0.18
1210,0.59
1211,0.03
1212,0.33
1213,0.01
1214,0.05
1215,0.19
1216,0.18
1217,0.33
1218,0.07
1219,0.06
1220,0.36
1221,0.36
1222,0.22
1223,0.15
1224,0.31
1225,0.32
1226,0.03
1227,0.31
1228,0.3
1229,0.1
1230,0.38
1231,0.1
1232,0.12
1233,0.08
1234,0.62
1235,0.3
1236,0.08
1237,0.26
1238,0.43
1239,0.16
1240,0.44
1241,0.16
1242,0.04
1243,0.08
1244,0.37
1245,0.49
1246,0.08
1247,0.21
1248,0.23
1249,0.31
1250,0.13
1251,0.62
1252,0.23
1253,0.03
1254,0.13
1255,0.09
1256,0.12
1257,0.02
1258,0.12
1259,0.18
1260,0.15
1261,0.35
1262,0.1
1263,0.09
1264,0.11
1265,0.13
1266,0.0
1267,0.2
1268,0.06
1269,0.61
1270,0.12
1271,0.08
1272,0.14
1273,0.1
1274,0.06
1275,0.03
1276,0.14
1277,0.09
1278,0.29
1279,0.09
1280,0.11
1281,0.12
1282,0.03
1283,0.36
1284,0.11
1285,0.5
1286,0.36
1287,0.07
1288,0.21
1289,0.05
1290,0.02
1291,0.13
1292,0.72
1293,0.18
1294,0.02
1295,0.26
1296,0.04
1297,0.15
1298,0.41
1299,0.42
1300,0.39
1301,0.13
1302,0.43
1303,0.61
1304,0.07
1305,0.05
1306,0.32
1307,0.08
1308,0.5
1309,0.48
1310,0.28
1311,0.7
1312,0.56
1313,0.53
1314,0.06
1315,0.23
1316,0.57
1317,0.24
1318,0.28
1319,0.12
1320,0.24
1321,0.34
1322,0.14
1323,0.11
1324,0.44
1325,0.32
1326,0.03
1327,0.22
1328,0.25
1329,0.48
1330,0.15
1331,0.27
1332,0.61
1333,0.06
1334,0.18
1335,0.03
1336,0.53
1337,0.15
1338,0.27
1339,0.41
1340,0.58
1341,0.05
1342,0.02
1343,0.18
1344,0.1
1345,0.26
1346,0.04
1347,0.34
1348,0.04
1349,0.18
1350,0.01
1351,0.0
1352,0.05
1353,0.29
1354,0.24
1355,0.21
1356,0.19
1357,0.05
1358,0.5
1359,0.02
1360,0.39
1361,0.86
1362,0.2
1363,0.02
1364,0.21
1365,0.2
1366,0.18
1367,0.11
1368,0.31
1369,0.07
1370,0.33
1371,0.34
1372,0.03
1373,0.46
1374,0.29
1375,0.02
1376,0.18
1377,0.32
1378,0.18
1379,0.38
1380,0.25
1381,0.55
1382,0.53
1383,0.25
1384,0.02
1385,0.41
1386,0.04
1387,0.46
1388,0.24
1389,0.43
1390,0.32
1391,0.11
1392,0.16
1393,0.1
1394,0.13
1395,0.56
1396,0.08
1397,0.02
1398,0.14
1399,0.5
1400,0.09
1401,0.25
1402,0.32
1403,0.07
1404,0.04
1405,0.43
1406,0.41
1407,0.44
1408,0.13
1409,0.16
1410,0.18
1411,0.27
1412,0.18
1413,0.15
1414,0.24
1415,0.24
1416,0.03
1417,0.34
1418,0.74
1419,0.45
1420,0.38
1421,0.43
1422,0.21
1423,0.15
1424,0.17
1425,0.16
1426,0.19
1427,0.37
1428,0.67
1429,0.75
1430,0.47
1431,0.27
1432,0.19
1433,0.31
1434,0.28
1435,0.61
1436,0.22
1437,0.65
1438,0.22
1439,0.18
1440,0.2
1441,0.29
1442,0.35
1443,0.0
1444,0.29
1445,0.44
1446,0.65
1447,0.01
1448,0.48
1449,0.0
1450,0.1
1451,0.14
1452,0.11
1453,0.01
1454,0.32
1455,0.2
1456,0.26
1457,0.1
1458,0.23
1459,0.52
1460,0.0
1461,0.06
1462,0.33
1463,0.83
1464,0.09
1465,0.5
1466,0.1
1467,0.04
1468,0.08
1469,0.16
1470,0.17
1471,0.53
1472,0.07
1473,0.15
1474,0.02
1475,0.28
1476,0.03
1477,0.02
1478,0.36
1479,0.1
1480,0.08
1481,0.03
1482,0.09
1483,0.13
1484,0.1
1485,0.57
1486,0.09
1487,0.73
1488,0.37
1489,0.49
1490,0.51
1491,0.02
1492,0.17
1493,0.28
1494,0.11
1495,0.31
1496,0.17
1497,0.18
1498,0.28
1499,0.47
1500,0.15
1501,0.59
1502,0.15
1503,0.21
1504,0.1
1505,0.28
1506,0.34
1507,0.03
1508,0.19
1509,0.22
1510,0.07
1511,0.27
1512,0.12
1513,0.13
1514,0.07
1515,0.48
1516,0.0
1517,0.13
1518,0.13
1519,0.4
1520,0.18
1521,0.69
1522,0.71
1523,0.24
1524,0.2
1525,0.17
1526,0.36
1527,0.47
1528,0.02
1529,0.67
1530,0.59
1531,0.05
1532,0.32
1533,0.08
1534,0.07
1535,0.43
1536,0.03
1537,0.27
1538,0.56
1539,0.17
1540,0.24
1541,0.1
1542,0.32
1543,0.07
1544,0.15
1545,0.23
1546,0.12
1547,0.14
1548,0.09
1549,0.24
1550,0.09
1551,0.43
1552,0.16
1553,0.49
1554,0.35
1555,0.18
1556,0.45
1557,0.22
1558,0.26
1559,0.1
1560,0.36
1561,0.25
1562,0.12
1563,0.11
1564,0.02
1565,0.24
1566,0.49
1567,0.09
1568,0.23
1569,0.13
1570,0.29
1571,0.09
1572,0.52
1573,0.37
1574,0.24
1575,0.13
1576,0.04
1577,0.1
1578,0.03
1579,0.06
1580,0.09
1581,0.17
1582,0.22
1583,0.18
1584,0.73
1585,0.07
1586,0.26
1587,0.03
1588,0.29
1589,0.13
1590,0.38
1591,0.06
1592,0.45
1593,0.27
1594,0.09
1595,0.11
1596,0.44
1597,0.36
1598,0.23
1599,0.49
1600,0.04
1601,0.61
1602,0.08
1603,0.69
1604,0.11
1605,0.08
1606,0.22
1607,0.07
1608,0.1
1609,0.32
1610,0.19
1611,0.2
1612,0.1
1613,0.51
1614,0.6
1615,0.06
1616,0.08
1617,0.46
1618,0.39
1619,0.29
1620,0.06
1621,0.46
1622,0.01
1623,0.61
1624,0.22
1625,0.31
1626,0.12
1627,0.09
1628,0.22
1629,0.13
1630,0.53
1631,0.25
1632,0.61
1633,0.52
1634,0.34
1635,0.4
1636,0.28
1637,0.32
1638,0.07
1639,0.54
1640,0.53
1641,0.12
1642,0.18
1643,0.31
1644,0.13
1645,0.55
1646,0.32
1647,0.21
1648,0.19
1649,0.03
1650,0.38
1651,0.08
1652,0.61
1653,0.12
1654,0.24
1655,0.13
1656,0.23
1657,0.31
1658,0.16
1659,0.13
1660,0.05
1661,0.08
1662,0.06
1663,0.08
1664,0.26
1665,0.4
1666,0.27
1667,0.0
1668,0.03
1669,0.14
1670,0.47
1671,0.27
1672,0.27
1673,0.41
1674,0.09
1675,0.3
1676,0.15
1677,0.35
1678,0.76
1679,0.07
1680,0.03
1681,0.29
1682,0.42
1683,0.01
1684,0.05
1685,0.12
1686,0.27
1687,0.07
1688,0.31
1689,0.04
1690,0.41
1691,0.15
1692,0.32
1693,0.18
1694,0.58
1695,0.38
1696,0.6
1697,0.33
1698,0.15
1699,0.22
1700,0.21
1701,0.32
1702,0.04
1703,0.48
1704,0.71
1705,0.22
1706,0.16
1707,0.26
1708,0.46
1709,0.06
1710,0.06
1711,0.25
1712,0.31
1713,0.13
1714,0.07
1715,0.01
1716,0.02
1717,0.21
1718,0.13
1719,0.66
1720,0.59
1721,0.06
1722,0.45
1723,0.16
1724,0.44
1725,0.24
1726,0.08
1727,0.28
1728,0.36
1729,0.09
1730,0.36
1731,0.08
1732,0.05
1733,0.25
1734,0.03
1735,0.26
1736,0.15
1737,0.22
1738,0.34
1739,0.05
1740,0.1
1741,0.17
1742,0.38
1743,0.03
1744,0.17
1745,0.08
1746,0.04
1747,0.12
1748,0.06
1749,0.44
1750,0.19
1751,0.21
1752,0.18
1753,0.08
1754,0.44
1755,0.68
1756,0.05
1757,0.44
1758,0.31
1759,0.15
1760,0.07
1761,0.48
1762,0.53
1763,0.38
1764,0.18
1765,0.27
1766,0.19
1767,0.05
1768,0.12
1769,0.14
1770,0.57
1771,0.55
1772,0.08
1773,0.29
1774,0.11
1775,0.26
1776,0.05
1777,0.11
1778,0.79
1779,0.64
1780,0.66
1781,0.04
1782,0.26
1783,0.86
1784,0.1
1785,0.63
1786,0.4
1787,0.25
1788,0.28
1789,0.03
1790,0.24
1791,0.31
1792,0.94
1793,0.07
1794,0.15
1795,0.26
1796,0.41
1797,0.25
1798,0.15
1799,0.37
1800,0.44
1801,0.72
1802,0.08
1803,0.1
1804,0.06
1805,0.06
1806,0.25
1807,0.38
1808,0.21
1809,0.24
1810,0.06
1811,0.06
1812,0.01
1813,0.4
1814,0.58
1815,0.72
1816,0.19
1817,0.11
1818,0.17
1819,0.6
1820,0.15
1821,0.44
1822,0.29
1823,0.09
1824,0.06
1825,0.09
1826,0.06
1827,0.39
1828,0.68
1829,0.13
1830,0.39
1831,0.52
1832,0.17
1833,0.08
1834,0.31
1835,0.24
1836,0.24
1837,0.22
1838,0.25
1839,0.5
1840,0.48
1841,0.22
1842,0.32
1843,0.17
1844,0.69
1845,0.06
1846,0.12
1847,0.56
1848,0.12
1849,0.37
1850,0.5
1851,0.45
1852,0.12
1853,0.56
1854,0.23
1855,0.3
1856,0.29
1857,0.31
1858,0.13
1859,0.05
1860,0.18
1861,0.08
1862,0.35
1863,0.12
1864,0.07
1865,0.77
1866,0.35
1867,0.36
1868,0.42
1869,0.17
1870,0.25
1871,0.29
1872,0.57
1873,0.07
1874,0.12
1875,0.45
1876,0.19
1877,0.14
1878,0.16
1879,0.4
1880,0.09
1881,0.08
1882,0.22
1883,0.39
1884,0.65
1885,0.26
1886,0.58
1887,0.17
1888,0.05
1889,0.89
1890,0.25
1891,0.5
1892,0.11
1893,0.12
1894,0.57
1895,0.16
1896,0.22
1897,0.31
1898,0.16
1899,0.33
1900,0.44
1901,0.35
1902,0.66
1903,0.17
1904,0.0
1905,0.06
1906,0.14
1907,0.0
1908,0.14
1909,0.15
1910,0.28
1911,0.12
1912,0.26
1913,0.09
1914,0.16
1915,0.13
1916,0.03
1917,0.37
1918,0.29
1919,0.77
1920,0.38
1921,0.34
1922,0.39
1923,0.2
1924,0.03
1925,0.51
1926,0.24
1927,0.11
1928,0.17
1929,0.07
1930,0.52
1931,0.15
1932,0.15
1933,0.48
1934,0.06
1935,0.32
1936,0.19
1937,0.29
1938,0.06
1939,0.29
1940,0.39
1941,0.12
1942,0.05
1943,0.05
1944,0.1
1945,0.31
1946,0.22
1947,0.46
1948,0.03
1949,0.18
1950,0.43
1951,0.3
1952,0.02
1953,0.09
1954,0.22
1955,0.35
1956,0.29
1957,0.41
1958,0.83
1959,0.04
1960,0.51
1961,0.07
1962,0.51
1963,0.52
1964,0.23
1965,0.47
1966,0.26
1967,0.35
1968,0.14
1969,0.23
1970,0.17
1971,0.11
1972,0.46
1973,0.17
1974,0.52
1975,0.1
1976,0.04
1977,0.93
1978,0.1
1979,0.13
1980,0.36
1981,0.6
1982,0.23
1983,0.45
1984,0.24
1985,0.35
1986,0.07
1987,0.12
1988,0.25
1989,0.19
1990,0.41
1991,0.34
1992,0.19
1993,0.3
1994,0.1
1995,0.33
1996,0.19
1997,0.06
1998,0.26
1999,0.29
2000,0.25
2001,0.06
2002,0.06
2003,0.08
2004,0.22
2005,0.46
2006,0.49
2007,0.4
2008,0.38
2009,0.09
2010,0.44
2011,0.3
2012,0.07
2013,0.23
2014,0.18
2015,0.51
2016,0.77
2017,0.31
2018,0.3
2019,0.43
2020,0.37
2021,0.06
2022,0.12
2023,0.13
2024,0.01
2025,0.03
2026,0.66
2027,0.09
2028,0.33
2029,0.11
2030,0.51
2031,0.05
2032,0.22
2033,0.01
2034,0.19
2035,0.14
2036,0.57
2037,0.23
2038,0.24
2039,0.06
2040,0.41
2041,0.37
2042,0.26
2043,0.5
2044,0.29
2045,0.56
2046,0.03
2047,0.15
2048,0.22
2049,0.62
2050,0.12
2051,0.07
2052,0.19
2053,0.61
2054,0.01
2055,0.29
2056,0.23
2057,0.31
2058,0.13
2059,0.0
2060,0.07
2061,0.08
2062,0.37
2063,0.13
2064,0.3
2065,0.1
2066,0.01
2067,0.54
2068,0.28
2069,0.41
2070,0.14
2071,0.28
2072,0.68
2073,0.16
2074,0.07
2075,0.18
2076,0.0
2077,0.55
2078,0.15
2079,0.75
2080,0.12
2081,0.44
2082,0.24
2083,0.28
2084,0.29
2085,0.13
2086,0.19
2087,0.67
2088,0.24
2089,0.16
2090,0.39
2091,0.09
2092,0.08
2093,0.32
2094,0.34
2095,0.2
2096,0.08
2097,0.12
2098,0.08
2099,0.04
2100,0.3
2101,0.08
2102,0.07
2103,0.31
2104,0.1
2105,0.68
2106,0.25
2107,0.02
2108,0.12
2109,0.21
2110,0.15
2111,0.32
2112,0.08
2113,0.22
2114,0.57
2115,0.42
2116,0.25
2117,0.03
2118,0.12
2119,0.16
2120,0.05
2121,0.27
2122,0.32
2123,0.15
2124,0.43
2125,0.05
2126,0.18
2127,0.21
2128,0.09
2129,0.08
2130,0.09
2131,0.23
2132,0.55
2133,0.4
2134,0.53
2135,0.04
2136,0.32
2137,0.17
2138,0.03
2139,0.18
2140,0.12
2141,0.02
