checking_acc,duration,credit_hist,purpose,credit_amount,savings_acc,employment_since,installment_rate,status_sex,guarantor,residence_since,property,age,other_installments,housing,existing_credits,job,no_people_liable,Telephone,foreign_worker,cost_matrix
low,60,delay,business,6836,low,seven+,3,male_single,none,4,no_property,63,none,own,2,skilled,1,yes,yes,2
medium,18,existing_paid,business,1913,gold,one,3,male_married,none,3,real_estate,36,bank,own,1,skilled,1,yes,yes,1
low,24,existing_paid,furniture,4020,low,four,2,male_single,none,2,other,27,stores,own,1,skilled,1,no,yes,1
medium,18,existing_paid,new_car,5866,medium,four,2,male_single,none,2,other,30,none,own,2,skilled,1,yes,yes,1
no_acc,12,critical,business,1264,no_acc,seven+,4,male_single,none,4,no_property,57,none,rent,1,unskilled,1,no,yes,1
high,12,existing_paid,furniture,1474,low,one,4,female_divorced_married,none,1,agreement,33,bank,own,1,management,1,yes,yes,1
medium,45,critical,television,4746,low,one,4,male_single,none,2,agreement,25,none,own,2,unskilled,1,no,yes,2
no_acc,48,critical,education,6110,low,four,1,male_single,none,3,no_property,31,bank,for free,1,skilled,1,yes,yes,1
high,18,existing_paid,television,2100,low,four,4,male_single,co-applicant,2,real_estate,37,stores,own,1,skilled,1,no,yes,2
high,10,existing_paid,domestic,1225,low,four,2,male_single,none,2,other,37,none,own,1,skilled,1,yes,yes,1
medium,9,existing_paid,television,458,low,four,4,male_single,none,3,real_estate,24,none,own,1,skilled,1,no,yes,1
no_acc,30,existing_paid,television,2333,silver,seven+,4,male_single,none,2,other,30,bank,own,1,management,1,no,yes,1
medium,12,existing_paid,television,1158,silver,four,3,male_divorced,none,1,other,26,none,own,1,skilled,1,yes,yes,1
medium,18,delay,repairs,6204,low,four,2,male_single,none,4,real_estate,44,none,own,1,unskilled,2,yes,yes,1
low,30,critical,old_car,6187,medium,seven,1,male_married,none,4,other,24,none,rent,2,skilled,1,no,yes,1
low,48,critical,old_car,6143,low,seven+,4,female_divorced_married,none,4,no_property,58,stores,for free,2,unskilled,1,no,yes,2
no_acc,11,critical,new_car,1393,low,one,4,female_divorced_married,none,4,other,35,none,own,2,management,1,no,yes,1
no_acc,36,existing_paid,television,2299,silver,seven+,4,male_single,none,4,other,39,none,own,1,skilled,1,no,yes,1
low,6,existing_paid,old_car,1352,silver,unemployed,1,female_divorced_married,none,2,agreement,23,none,rent,1,unemployed,1,yes,yes,1
no_acc,11,critical,new_car,7228,low,four,1,male_single,none,4,agreement,39,none,own,2,unskilled,1,no,yes,1
no_acc,12,existing_paid,television,2073,medium,four,4,female_divorced_married,co-applicant,2,real_estate,28,none,own,1,skilled,1,no,yes,1
medium,24,delay,furniture,2333,no_acc,one,4,male_single,none,2,agreement,29,bank,own,1,unskilled,1,no,yes,1
medium,27,delay,old_car,5965,low,seven+,1,male_single,none,2,other,30,none,own,2,management,1,yes,yes,1
no_acc,12,existing_paid,television,1262,low,four,3,male_single,none,2,other,25,none,own,1,skilled,1,no,yes,1
no_acc,18,existing_paid,old_car,3378,no_acc,four,2,male_single,none,1,agreement,31,none,own,1,skilled,1,yes,yes,1
medium,36,delay,new_car,2225,low,seven+,4,male_single,none,4,no_property,57,bank,for free,2,skilled,1,yes,yes,2
no_acc,6,paid,new_car,783,no_acc,four,1,male_single,guarantor,2,real_estate,26,stores,own,1,unskilled,2,no,yes,1
medium,12,existing_paid,television,6468,no_acc,unemployed,2,male_single,none,1,no_property,52,none,own,1,management,1,yes,yes,2
no_acc,36,critical,television,9566,low,four,2,female_divorced_married,none,2,other,31,stores,own,2,skilled,1,no,yes,1
high,18,existing_paid,new_car,1961,low,seven+,3,female_divorced_married,none,2,other,23,none,own,1,management,1,no,yes,1
low,36,critical,furniture,6229,low,one,4,female_divorced_married,co-applicant,4,no_property,23,none,rent,2,unskilled,1,yes,yes,2
medium,9,existing_paid,business,1391,low,four,2,male_married,none,1,real_estate,27,bank,own,1,skilled,1,yes,yes,1
medium,15,critical,television,1537,no_acc,seven+,4,male_single,guarantor,4,real_estate,50,none,own,2,skilled,1,yes,yes,1
medium,36,no_credit,business,1953,low,seven+,4,male_single,none,4,no_property,61,none,for free,1,management,1,yes,yes,2
medium,48,no_credit,business,14421,low,four,2,male_single,none,2,other,25,none,own,1,skilled,1,yes,yes,2
no_acc,24,existing_paid,television,3181,low,one,4,female_divorced_married,none,4,agreement,26,none,own,1,skilled,1,yes,yes,1
no_acc,27,existing_paid,repairs,5190,no_acc,seven+,4,male_single,none,4,agreement,48,none,own,4,skilled,2,yes,yes,1
no_acc,12,existing_paid,television,2171,low,one,2,female_divorced_married,none,2,other,29,bank,own,1,skilled,1,no,yes,1
medium,12,existing_paid,new_car,1007,gold,four,4,male_married,none,1,real_estate,22,none,own,1,skilled,1,no,yes,1
no_acc,36,existing_paid,education,1819,low,four,4,male_single,none,4,no_property,37,stores,for free,1,skilled,1,yes,yes,2
no_acc,36,existing_paid,television,2394,no_acc,four,4,female_divorced_married,none,4,other,25,none,own,1,skilled,1,no,yes,1
no_acc,36,existing_paid,old_car,8133,low,four,1,female_divorced_married,none,2,agreement,30,bank,own,1,skilled,1,no,yes,1
no_acc,7,critical,television,730,no_acc,seven+,4,male_single,none,2,agreement,46,none,rent,2,unskilled,1,yes,yes,1
low,8,critical,others,1164,low,seven+,3,male_single,none,4,no_property,51,bank,for free,2,management,2,yes,yes,1
medium,42,critical,business,5954,low,seven,2,female_divorced_married,none,1,real_estate,41,bank,own,2,unskilled,1,no,yes,1
low,36,existing_paid,education,1977,no_acc,seven+,4,male_single,none,4,no_property,40,none,own,1,management,1,yes,yes,2
low,12,critical,old_car,1526,low,seven+,4,male_single,none,4,no_property,66,none,for free,2,management,1,no,yes,1
low,42,existing_paid,television,3965,low,one,4,male_single,none,3,other,34,none,own,1,skilled,1,no,yes,2
medium,11,delay,television,4771,low,seven,2,male_single,none,4,agreement,51,none,own,1,skilled,1,no,yes,1
no_acc,54,no_credit,old_car,9436,no_acc,four,2,male_single,none,2,agreement,39,none,own,1,unskilled,2,no,yes,1
medium,30,existing_paid,furniture,3832,low,one,2,male_married,none,1,agreement,22,none,own,1,skilled,1,no,yes,1
no_acc,24,existing_paid,television,5943,no_acc,one,1,female_divorced_married,none,1,other,44,none,own,2,skilled,1,yes,yes,2
no_acc,15,existing_paid,television,1213,silver,seven+,4,male_single,none,3,agreement,47,stores,own,1,skilled,1,yes,yes,1
no_acc,18,existing_paid,business,1568,medium,four,3,female_divorced_married,none,4,agreement,24,none,rent,1,unskilled,1,no,yes,1
low,24,existing_paid,others,1755,low,seven+,4,female_divorced_married,guarantor,4,real_estate,58,none,own,1,unskilled,1,yes,yes,1
low,10,existing_paid,television,2315,low,seven+,3,male_single,none,4,real_estate,52,none,own,1,unskilled,1,no,yes,1
no_acc,12,critical,business,1412,low,four,4,female_divorced_married,guarantor,2,real_estate,29,none,own,2,management,1,yes,yes,1
medium,18,critical,furniture,1295,low,one,4,female_divorced_married,none,1,agreement,27,none,own,2,skilled,1,no,yes,1
medium,36,existing_paid,education,12612,medium,four,1,male_single,none,4,no_property,47,none,for free,1,skilled,2,yes,yes,2
low,18,existing_paid,new_car,2249,medium,seven,4,male_single,none,3,other,30,none,own,1,management,2,yes,yes,1
low,12,no_credit,repairs,1108,low,seven,4,male_single,none,3,real_estate,28,none,own,2,skilled,1,no,yes,2
no_acc,12,critical,television,618,low,seven+,4,male_single,none,4,real_estate,56,none,own,1,skilled,1,no,yes,1
low,12,critical,old_car,1409,low,seven+,4,male_single,none,3,real_estate,54,none,own,1,skilled,1,no,yes,1
no_acc,12,critical,television,797,no_acc,seven+,4,female_divorced_married,none,3,agreement,33,bank,own,1,unskilled,2,no,yes,2
high,24,critical,furniture,3617,no_acc,seven+,4,male_single,co-applicant,4,no_property,20,none,rent,2,skilled,1,no,yes,1
medium,12,existing_paid,new_car,1318,gold,seven+,4,male_single,none,4,real_estate,54,none,own,1,skilled,1,yes,yes,1
medium,54,no_credit,business,15945,low,one,3,male_single,none,4,no_property,58,none,rent,1,skilled,1,yes,yes,2
no_acc,12,critical,education,2012,no_acc,seven,4,female_divorced_married,none,2,other,61,none,own,1,skilled,1,no,yes,1
medium,18,existing_paid,business,2622,medium,four,4,male_single,none,4,other,34,none,own,1,skilled,1,no,yes,1
medium,36,critical,television,2337,low,seven+,4,male_single,none,4,real_estate,36,none,own,1,skilled,1,no,yes,1
medium,20,delay,old_car,7057,no_acc,seven,3,male_single,none,4,agreement,36,bank,rent,2,management,2,yes,yes,1
no_acc,24,existing_paid,new_car,1469,medium,seven+,4,male_married,none,4,real_estate,41,none,rent,1,unskilled,1,no,yes,1
medium,36,existing_paid,television,2323,low,seven,4,male_single,none,4,other,24,none,rent,1,skilled,1,no,yes,1
no_acc,6,delay,television,932,low,four,3,female_divorced_married,none,2,real_estate,24,none,own,1,skilled,1,no,yes,1
medium,9,critical,furniture,1919,low,seven,4,male_single,none,3,other,35,none,rent,1,skilled,1,yes,yes,1
no_acc,12,existing_paid,old_car,2445,no_acc,one,2,male_married,none,4,other,26,none,rent,1,skilled,1,yes,yes,1
medium,24,critical,others,11938,low,four,2,male_single,co-applicant,3,other,39,none,own,2,management,2,yes,yes,2
no_acc,18,paid,new_car,6458,low,seven+,2,male_single,none,4,no_property,39,bank,own,2,management,2,yes,yes,2
medium,12,existing_paid,new_car,6078,low,seven,2,male_single,none,2,other,32,none,own,1,skilled,1,no,yes,1
low,24,existing_paid,furniture,7721,no_acc,one,1,female_divorced_married,none,2,agreement,30,none,own,1,skilled,1,yes,no,1
medium,14,existing_paid,business,1410,silver,seven+,1,male_married,none,2,real_estate,35,none,own,1,skilled,1,yes,yes,1
medium,6,delay,business,1449,medium,seven+,1,male_divorced,none,2,other,31,bank,own,2,skilled,2,no,yes,1
high,15,existing_paid,education,392,low,one,4,female_divorced_married,none,4,agreement,23,none,rent,1,skilled,1,yes,yes,1
medium,18,existing_paid,new_car,6260,low,seven,3,male_single,none,3,real_estate,28,none,rent,1,unskilled,1,no,yes,1
no_acc,36,critical,new_car,7855,low,four,4,female_divorced_married,none,2,real_estate,25,stores,own,2,skilled,1,yes,yes,2
low,12,existing_paid,television,1680,silver,seven+,3,male_married,none,1,real_estate,35,none,own,1,skilled,1,no,yes,1
no_acc,48,critical,television,3578,no_acc,seven+,4,male_single,none,1,real_estate,47,none,own,1,skilled,1,yes,yes,1
low,42,existing_paid,television,7174,no_acc,seven,4,female_divorced_married,none,3,other,30,none,own,1,management,1,yes,yes,2
low,10,critical,furniture,2132,no_acc,one,2,female_divorced_married,co-applicant,3,real_estate,27,none,rent,2,skilled,1,no,no,1
low,33,critical,furniture,4281,silver,four,1,female_divorced_married,none,4,other,23,none,own,2,skilled,1,no,yes,2
medium,12,critical,new_car,2366,silver,seven,3,male_divorced,none,3,other,36,none,own,1,management,1,yes,yes,1
low,21,existing_paid,television,1835,low,four,3,female_divorced_married,none,2,real_estate,25,none,own,2,skilled,1,yes,yes,2
no_acc,24,critical,old_car,3868,low,seven+,4,female_divorced_married,none,2,other,41,none,rent,2,management,1,yes,yes,1
no_acc,12,existing_paid,furniture,1768,low,four,3,male_single,none,2,real_estate,24,none,rent,1,unskilled,1,no,yes,1
high,10,critical,new_car,781,low,seven+,4,male_single,none,4,no_property,63,none,for free,2,skilled,1,yes,yes,1
medium,18,existing_paid,furniture,1924,no_acc,one,4,female_divorced_married,none,3,real_estate,27,none,rent,1,skilled,1,no,yes,2
low,12,critical,new_car,2121,low,four,4,male_single,none,2,agreement,30,none,own,2,skilled,1,no,yes,1
low,12,existing_paid,television,701,low,four,4,male_married,none,2,real_estate,40,none,own,1,unskilled,1,no,yes,1
medium,12,existing_paid,repairs,639,low,four,4,male_single,none,2,other,30,none,own,1,skilled,1,no,yes,2
medium,12,critical,old_car,1860,low,unemployed,4,male_single,none,2,other,34,none,own,2,management,1,yes,yes,1
low,12,critical,new_car,3499,low,four,3,female_divorced_married,co-applicant,2,real_estate,29,none,own,2,skilled,1,no,yes,2
medium,48,existing_paid,new_car,8487,no_acc,seven,1,female_divorced_married,none,2,other,24,none,own,1,skilled,1,no,yes,1
low,36,delay,education,6887,low,four,4,male_single,none,3,agreement,29,stores,own,1,skilled,1,yes,yes,2
no_acc,15,existing_paid,furniture,2708,low,one,2,male_single,none,3,agreement,27,bank,own,2,unskilled,1,no,yes,1
no_acc,18,existing_paid,furniture,1984,low,four,4,male_single,none,4,no_property,47,bank,for free,2,skilled,1,no,yes,1
no_acc,60,existing_paid,television,10144,medium,seven,2,female_divorced_married,none,4,real_estate,21,none,own,1,skilled,1,yes,yes,1
no_acc,12,critical,television,1240,no_acc,seven+,4,female_divorced_married,none,2,real_estate,38,none,own,2,skilled,1,yes,yes,1
no_acc,27,delay,old_car,8613,gold,four,2,male_single,none,2,other,27,none,own,2,skilled,1,no,yes,1
medium,12,existing_paid,television,766,silver,four,4,male_single,none,3,real_estate,66,none,own,1,unskilled,1,no,yes,2
medium,15,critical,television,2728,no_acc,seven,4,male_single,guarantor,2,real_estate,35,bank,own,3,skilled,1,yes,yes,1
high,12,existing_paid,television,1881,low,four,2,female_divorced_married,none,2,other,44,none,rent,1,unskilled,1,yes,yes,1
high,6,existing_paid,new_car,709,gold,one,2,male_married,none,2,real_estate,27,none,own,1,unemployed,1,no,no,1
medium,36,existing_paid,television,4795,low,one,4,female_divorced_married,none,1,no_property,30,none,own,1,management,1,yes,yes,1
low,27,existing_paid,television,3416,low,four,3,male_single,none,2,other,27,none,own,1,management,1,no,yes,1
low,18,existing_paid,furniture,2462,low,four,2,male_single,none,2,other,22,none,own,1,skilled,1,no,yes,2
no_acc,21,critical,furniture,2288,low,one,4,female_divorced_married,none,4,agreement,23,none,own,1,skilled,1,yes,yes,1
medium,48,paid,business,3566,medium,seven,4,male_single,none,2,other,30,none,own,1,skilled,1,no,yes,1
low,6,critical,new_car,860,low,seven+,1,female_divorced_married,none,4,no_property,39,none,own,2,skilled,1,yes,yes,1
no_acc,12,critical,new_car,682,medium,seven,4,female_divorced_married,none,3,other,51,none,own,2,skilled,1,yes,yes,1
low,36,critical,furniture,5371,low,four,3,male_single,guarantor,2,agreement,28,none,own,2,skilled,1,no,yes,1
no_acc,18,critical,television,1582,gold,seven+,4,male_single,none,4,other,46,none,own,2,skilled,1,no,yes,1
no_acc,6,existing_paid,television,1346,medium,seven+,2,male_single,none,4,no_property,42,bank,for free,1,skilled,2,yes,yes,1
no_acc,10,existing_paid,television,1924,low,four,1,male_single,none,4,agreement,38,none,own,1,skilled,1,yes,no,1
high,36,existing_paid,television,5848,low,four,4,male_single,none,1,other,24,none,own,1,skilled,1,no,yes,1
medium,24,critical,old_car,7758,gold,seven+,2,female_divorced_married,none,4,no_property,29,none,rent,1,skilled,1,no,yes,1
medium,24,delay,business,6967,medium,seven,4,male_single,none,4,other,36,none,rent,1,management,1,yes,yes,1
low,12,existing_paid,furniture,1282,low,four,2,female_divorced_married,none,4,other,20,none,rent,1,skilled,1,no,yes,2
low,9,critical,repairs,1288,medium,seven+,3,male_single,guarantor,4,real_estate,48,none,own,2,skilled,2,no,no,1
low,12,paid,retraining,339,low,seven+,4,male_married,none,1,other,45,bank,own,1,unskilled,1,no,yes,1
medium,24,existing_paid,new_car,3512,medium,seven,2,male_single,none,3,other,38,bank,own,2,skilled,1,yes,yes,1
no_acc,6,critical,television,1898,no_acc,four,1,male_single,none,2,real_estate,34,none,own,2,unskilled,2,no,yes,1
no_acc,24,critical,television,2872,medium,seven+,3,male_single,none,4,real_estate,36,none,own,1,skilled,2,yes,yes,1
no_acc,18,critical,new_car,1055,low,one,4,female_divorced_married,none,1,agreement,30,none,own,2,skilled,1,no,yes,1
no_acc,15,existing_paid,domestic,1262,silver,seven,4,male_single,none,3,agreement,36,none,own,2,skilled,1,yes,yes,1
medium,10,existing_paid,new_car,7308,low,unemployed,2,male_single,none,4,no_property,70,bank,for free,1,management,1,yes,yes,1
no_acc,36,existing_paid,new_car,909,silver,seven+,4,male_single,none,4,agreement,36,none,own,1,skilled,1,no,yes,1
no_acc,6,existing_paid,furniture,2978,silver,four,1,male_single,none,2,other,32,none,own,1,skilled,1,yes,yes,1
low,18,existing_paid,furniture,1131,low,unemployed,4,female_divorced_married,none,2,other,33,none,own,1,skilled,1,no,yes,2
medium,11,existing_paid,furniture,1577,gold,one,4,female_divorced_married,none,1,real_estate,20,none,own,1,skilled,1,no,yes,1
no_acc,24,existing_paid,furniture,3972,low,seven,2,female_divorced_married,none,4,agreement,25,none,rent,1,skilled,1,yes,yes,1
medium,24,critical,business,1935,low,seven+,4,male_divorced,none,4,real_estate,31,none,own,2,skilled,1,yes,yes,2
low,15,no_credit,new_car,950,low,seven+,4,male_single,none,3,other,33,none,rent,2,skilled,2,no,yes,2
no_acc,12,existing_paid,furniture,763,low,four,4,female_divorced_married,none,1,real_estate,26,none,own,1,skilled,1,yes,yes,1
medium,24,delay,furniture,2064,low,unemployed,3,female_divorced_married,none,2,agreement,34,none,own,1,management,1,yes,yes,2
medium,8,existing_paid,television,1414,low,four,4,male_single,guarantor,2,real_estate,33,none,own,1,skilled,1,no,no,1
low,21,delay,education,3414,low,one,2,male_single,none,1,agreement,26,none,own,2,skilled,1,no,yes,2
no_acc,30,paid,old_car,7485,no_acc,unemployed,4,female_divorced_married,none,1,real_estate,53,bank,own,1,management,1,yes,yes,2
low,12,existing_paid,furniture,2577,low,four,2,male_divorced,none,1,other,42,none,own,1,skilled,1,no,yes,1
low,6,critical,television,338,silver,seven+,4,male_single,none,4,other,52,none,own,2,skilled,1,no,yes,1
no_acc,12,existing_paid,television,1963,low,seven,4,male_single,none,2,other,31,none,rent,2,management,2,yes,yes,1
low,21,critical,new_car,571,low,seven+,4,male_single,none,4,real_estate,65,none,own,2,skilled,1,no,yes,1
no_acc,36,delay,business,9572,low,one,1,male_divorced,none,1,other,28,none,own,2,skilled,1,no,yes,2
medium,36,delay,business,4455,low,four,2,male_divorced,none,2,real_estate,30,stores,own,2,management,1,yes,yes,2
low,21,paid,new_car,1647,no_acc,four,4,male_single,none,2,agreement,40,none,own,2,unskilled,2,no,yes,2
no_acc,24,critical,furniture,3777,gold,four,4,male_single,none,4,real_estate,50,none,own,1,skilled,1,yes,yes,1
medium,18,critical,new_car,884,low,seven+,4,male_single,none,4,other,36,bank,own,1,skilled,2,yes,yes,2
no_acc,15,critical,television,1360,low,four,4,male_single,none,2,agreement,31,none,own,2,skilled,1,no,yes,1
medium,9,paid,old_car,5129,low,seven+,2,female_divorced_married,none,4,no_property,74,bank,for free,1,management,2,yes,yes,2
medium,16,critical,new_car,1175,low,unemployed,2,male_single,none,3,other,68,none,for free,3,unemployed,1,yes,yes,1
low,12,existing_paid,television,674,medium,seven,4,male_married,none,1,agreement,20,none,own,1,skilled,1,no,yes,2
medium,18,no_credit,furniture,3244,low,four,1,female_divorced_married,none,4,other,33,bank,own,2,skilled,1,yes,yes,1
no_acc,24,existing_paid,business,4591,gold,four,2,male_single,none,3,agreement,54,none,own,3,management,1,yes,yes,2
medium,48,no_credit,business,3844,medium,seven,4,male_single,none,4,no_property,34,none,for free,1,unskilled,2,no,yes,2
medium,27,existing_paid,business,3915,low,four,4,male_single,none,2,other,36,none,own,1,skilled,2,yes,yes,2
no_acc,6,existing_paid,television,2108,low,seven,2,male_married,none,2,real_estate,29,none,rent,1,skilled,1,no,yes,1
medium,45,existing_paid,television,3031,medium,four,4,male_single,guarantor,4,agreement,21,none,rent,1,skilled,1,no,yes,2
medium,9,critical,education,1501,low,seven+,2,female_divorced_married,none,3,other,34,none,own,2,management,1,yes,yes,2
no_acc,6,critical,television,1382,low,four,1,female_divorced_married,none,1,other,28,none,own,2,skilled,1,yes,yes,1
medium,12,existing_paid,furniture,951,medium,one,4,female_divorced_married,none,4,other,27,bank,rent,4,skilled,1,no,yes,2
medium,24,existing_paid,old_car,2760,no_acc,seven+,4,male_single,none,4,no_property,36,bank,for free,1,skilled,1,yes,yes,1
medium,18,delay,furniture,4297,low,seven+,4,male_divorced,none,3,no_property,40,none,own,1,management,1,yes,yes,2
no_acc,9,critical,education,936,silver,seven+,4,male_single,none,2,other,52,none,own,2,skilled,1,yes,yes,1
low,12,existing_paid,new_car,1168,low,four,4,male_married,none,3,real_estate,27,none,own,1,unskilled,1,no,yes,1
no_acc,27,delay,business,5117,low,seven,3,male_single,none,4,other,26,none,own,2,skilled,1,no,yes,1
low,12,existing_paid,retraining,902,low,seven,4,male_married,none,4,agreement,21,none,rent,1,skilled,1,no,yes,2
no_acc,12,critical,new_car,1495,low,seven+,4,male_single,none,1,real_estate,38,none,own,2,unskilled,2,no,yes,1
low,30,critical,old_car,10623,low,seven+,3,male_single,none,4,no_property,38,none,for free,3,management,2,yes,yes,1
no_acc,12,critical,furniture,1935,low,seven+,4,male_single,none,4,real_estate,43,none,own,3,skilled,1,yes,yes,1
medium,12,critical,domestic,1424,low,seven,4,male_single,none,3,agreement,26,none,own,1,skilled,1,no,yes,1
low,24,existing_paid,business,6568,low,four,2,male_married,none,2,other,21,stores,own,1,unskilled,1,no,yes,1
no_acc,12,existing_paid,old_car,1413,gold,seven,3,male_single,none,2,agreement,55,none,own,1,skilled,1,no,no,1
no_acc,9,critical,television,3074,no_acc,four,1,male_single,none,2,real_estate,33,none,own,2,skilled,2,no,yes,1
no_acc,36,existing_paid,television,3835,no_acc,seven+,2,female_divorced_married,none,4,real_estate,45,none,own,1,unskilled,1,yes,yes,1
low,27,no_credit,business,5293,low,unemployed,2,male_single,none,4,agreement,50,stores,own,2,skilled,1,yes,yes,2
high,30,delay,business,1908,low,seven+,4,male_single,none,4,real_estate,66,none,own,1,management,1,yes,yes,2
no_acc,36,critical,television,3342,no_acc,seven+,4,male_single,none,2,other,51,none,own,1,skilled,1,yes,yes,1
medium,6,critical,retraining,932,no_acc,seven,1,female_divorced_married,none,3,agreement,39,none,own,2,unskilled,1,no,yes,1
low,18,no_credit,business,3104,low,seven,3,male_single,none,1,agreement,31,bank,own,1,skilled,1,yes,yes,1
high,36,existing_paid,television,3913,low,four,2,male_single,none,2,real_estate,23,none,own,1,skilled,1,yes,yes,1
low,24,existing_paid,furniture,3021,low,four,2,male_divorced,none,2,real_estate,24,none,rent,1,unskilled,1,no,yes,1
no_acc,10,existing_paid,new_car,1364,low,four,2,female_divorced_married,none,4,other,64,none,own,1,skilled,1,yes,yes,1
medium,12,existing_paid,television,625,low,one,4,male_married,guarantor,1,real_estate,26,bank,own,1,unskilled,1,no,yes,1
low,12,existing_paid,education,1200,no_acc,four,4,female_divorced_married,none,4,agreement,23,bank,rent,1,skilled,1,yes,yes,1
no_acc,12,existing_paid,television,707,low,four,4,male_single,none,2,real_estate,30,bank,own,2,skilled,1,no,yes,1
no_acc,24,delay,business,2978,no_acc,four,4,male_single,none,4,real_estate,32,none,own,2,skilled,2,yes,yes,1
no_acc,15,existing_paid,old_car,4657,low,four,3,male_single,none,2,other,30,none,own,1,skilled,1,yes,yes,1
no_acc,36,no_credit,repairs,2613,low,four,4,male_single,none,2,other,27,none,own,2,skilled,1,no,yes,1
medium,48,existing_paid,television,10961,gold,seven,1,male_single,co-applicant,2,no_property,27,bank,own,2,skilled,1,yes,yes,2
low,12,existing_paid,furniture,7865,low,seven+,4,male_single,none,4,no_property,53,none,for free,1,management,1,yes,yes,2
no_acc,9,existing_paid,television,1478,low,seven,4,male_single,none,2,other,22,none,own,1,skilled,1,no,yes,2
low,24,existing_paid,furniture,3149,low,one,4,male_single,none,1,no_property,22,bank,for free,1,skilled,1,no,yes,1
high,36,existing_paid,television,4210,low,four,4,male_single,none,2,other,26,none,own,1,skilled,1,no,yes,2
no_acc,9,existing_paid,new_car,2507,silver,seven+,2,male_single,none,4,no_property,51,none,for free,1,unskilled,1,no,yes,1
no_acc,12,existing_paid,television,2141,medium,seven,3,male_single,none,1,no_property,35,none,own,1,skilled,1,no,yes,1
medium,18,existing_paid,television,866,low,four,4,male_married,guarantor,2,real_estate,25,none,own,1,unskilled,1,no,yes,1
no_acc,4,critical,television,1544,low,seven,2,male_single,none,1,real_estate,42,none,own,3,unskilled,2,no,yes,1
low,24,existing_paid,television,1823,low,unemployed,4,male_single,none,2,other,30,stores,own,1,management,2,no,yes,2
